№;Фрагмент текста;Словосочетание;Определение;Значение;
;"Солнце уже снижалось над Лысой Горой, и была эта гора оцеплена двойным оцеплением.
Та кавалерийская ала, что перерезала прокуратору путь около полудня, рысью вышла к Хевровским воротам города. Путь для нее уже был приготовлен. Пехотинцы каппадокийской когорты отдавили в стороны скопища людей, мулов и верблюдов, и ала, рыся и поднимая до неба белые столбы пыли, вышла на перекресток, где сходились две дороги: южная, ведущая в Вифлеем, и северо-западная – в Яффу. ";Солнце уже снижалось;символ;закат (в т.ч. в переносном значении);
;;перерезала путь;метафора;перечеркивать судьбу;
;;Путь был приготовлен;метафора;дальнейшая предначертанность;
;;отдавили в стороны (скопища людей, мулов и верблюдов);метафора;жёсткое воздействие;
;;скопища людей, мулов и верблюдов;метафора;массовость (воздействия);
;;поднимая до неба белые столбы пыли;символ;оставляя след (в истории), воздействие до небесных сфер (религ.);
;Те же каппадокийцы были рассыпаны по краям дороги, и заблаговременно они согнали с нее в стороны все караваны, спешившие на праздник в Ершалаим. Толпы богомольцев стояли за каппадокийцами, покинув свои временные полосатые шатры, раскинутые прямо на траве. ;(каппадокийцы) были рассыпаны по краям дороги;метафора;массовость и при этом мелочность (управляемость, незаметность и незначительность каждого для истории);
;;раскинутые на траве;метафора;свободно расположенные;
;Пройдя около километра, ала обогнала вторую когорту молниеносного легиона и первая подошла, покрыв еще километр, к подножию Лысой Горы. Здесь она спешилась. Командир рассыпал алу на взводы, и они оцепили все подножие невысокого холма, оставив свободным только один подъем на него с Яффской дороги;обогнала когорту молниеносного легиона;символ;ярко движутся к центру событий;
;;оцепили подножие;метафора;жесткость ограничения;
;Через некоторое время за алой подошла к холму вторая когорта, поднялась на один ярус выше и венцом опоясала гору.;венцом опоясала гору;метафора;торжественность;
;Она шла, растянутая двумя цепями по краям дороги, а между этими цепями, под конвоем тайной стражи, ехали в повозке трое осужденных с белыми досками на шее, на каждой из которых было написано «Разбойник и мятежник» на двух языках – арамейском и греческом. ;растянутая двумя цепями;метафора;несвобода, конвой;
;За ними верхом ехали кентурион Марк, начальник храмовой стражи в Ершалаиме и тот самый человек в капюшоне, с которым Пилат имел мимолетное совещание в затемненной комнате во дворце. ;человек в капюшоне;символ;загадочность, скрытность, тайная сила;
;;мимолетное совещание в затемненной комнате ;символ;решающий тайный договор;
;Теперь она могла видеть казнь сквозь неплотную цепь пехотинцев.;сквозь неплотную цепь;метафора;несвобода / наблюдение несвободы;
;Получив от этого некоторое облегчение, он отходил и вновь начинал мерить взад и вперед пыльную дорогу, ведущую на вершину. Длинный меч его стучал по кожаному шнурованному сапогу. ;Длинный меч его стучал по кожаному шнурованному сапогу.;символ;ритм солдатской жизни;
