num,word,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
0,сзади,0,0,0,0,0,0,0,0,0,0
1,счеты,0,0,0,0,0,0,0,0,0,1
2,отказаться от,0,1,0,0,0,1,0,1,0,0
3,заброшенный,0,1,1,0,0,1,0,1,0,0
4,отказ,0,1,1,0,0,1,0,1,1,0
5,отпускать,0,0,0,0,0,0,0,0,0,0
6,уменьшение,0,0,0,0,0,0,0,0,0,0
7,авва,1,0,0,0,0,0,0,0,0,0
8,аббат,0,0,0,0,0,0,0,0,0,1
9,сокращать,0,0,0,0,0,0,0,0,0,0
10,сокращение,0,0,0,0,0,0,0,0,0,0
11,живот,0,0,0,0,0,0,0,0,0,0
12,брюшной,0,0,0,0,0,0,0,0,0,0
13,похищение,0,1,0,0,0,1,0,1,1,0
14,отклоняющийся,0,1,0,0,0,0,0,0,0,0
15,аберрация,0,1,0,0,1,0,0,0,0,0
16,неизвестности,0,0,0,0,0,0,0,0,0,0
17,ненавидеть,0,1,1,0,1,1,0,0,0,0
18,отвратительный,0,1,1,0,1,1,0,0,0,0
19,соблюдать,0,0,0,0,0,0,0,0,0,0
20,способность,1,0,0,0,0,0,0,0,0,0
21,презренный,0,1,0,0,1,0,0,0,0,0
22,абляция,0,0,0,0,0,0,0,0,0,0
23,пылать,0,0,0,0,0,0,0,0,0,0
24,ненормальный,0,1,0,0,1,0,0,0,0,0
25,на борту,0,0,0,0,0,0,0,0,0,0
26,жилище,0,0,0,0,0,0,0,0,0,0
27,отменять,0,1,1,0,0,0,0,0,0,0
28,отмена,0,1,0,0,0,0,0,0,0,0
29,отвратительный,0,1,0,0,1,1,0,0,0,0
30,мерзость,0,1,1,0,1,1,0,0,0,0
31,абориген,0,0,0,0,0,0,0,0,0,0
32,выкинуть,0,1,0,0,0,0,0,0,0,0
33,аборт,0,1,0,0,1,1,0,1,0,0
34,абортивный,0,1,0,0,0,0,0,1,0,0
35,изобиловать,0,0,0,0,0,0,0,0,0,0
36,вышеупомянутый,1,0,0,0,0,0,0,0,0,0
37,истирание,0,1,0,0,0,0,0,0,0,0
38,за рубежом,0,0,0,0,0,0,0,0,0,0
39,отменять,0,1,0,0,0,0,0,0,0,0
40,крутой,0,0,0,0,0,0,0,0,1,0
41,резко,0,0,0,0,0,0,0,0,0,0
42,абсцесс,0,1,0,0,0,0,0,1,0,0
43,отсутствие,0,1,0,0,0,1,0,1,0,0
44,отсутствовать,0,1,0,0,0,0,0,1,0,0
45,отсутствующий,0,1,0,0,0,0,0,1,0,0
46,абсентеизм,0,1,0,0,0,0,0,0,0,0
47,абсент,0,0,0,0,0,0,0,0,0,0
48,абсолютная,1,0,0,0,0,0,0,0,0,0
49,отпущение грехов,1,0,0,0,0,0,1,0,0,1
50,поглощенная,1,0,0,0,0,0,0,0,0,0
